model,category,runs,mean_accuracy_pct,median_accuracy_pct,stddev_pct,mad_pct,min_accuracy_pct,max_accuracy_pct,mean_delta_pct,median_delta_pct,delta_stddev_pct,delta_mad_pct,min_delta_pct,max_delta_pct,negative_runs,positive_runs
BitAgent_BitAgent-Bounty-8B,assert_f-sa-baseline,3,60.575,60.406,0.293,0.0,60.406,60.914,-17.09,-17.259,0.293,0.0,-17.259,-16.751,3,0
Qwen_Qwen3-14B-FC,assert_f-sa-baseline,3,26.904,26.904,0.508,0.508,26.396,27.411,-23.689,-23.35,2.051,1.523,-25.888,-21.827,3,0
Qwen_Qwen3-32B-FC,assert_f-sa-baseline,3,34.349,35.025,2.605,1.523,31.472,36.548,-20.135,-19.289,5.883,4.569,-26.396,-14.721,3,0
Qwen_Qwen3-8B-FC,assert_f-sa-baseline,3,28.596,28.426,2.289,2.03,26.396,30.964,-14.044,-14.721,1.172,0.0,-14.721,-12.69,3,0
Salesforce_Llama-xLAM-2-70b-fc-r,assert_f-sa-baseline,3,72.081,72.081,0.508,0.508,71.574,72.589,-7.107,-7.107,0.508,0.508,-7.614,-6.599,3,0
Salesforce_Llama-xLAM-2-8b-fc-r,assert_f-sa-baseline,3,67.005,67.005,0.0,0.0,67.005,67.005,-10.321,-10.152,0.293,0.0,-10.66,-10.152,3,0
Salesforce_xLAM-2-32b-fc-r,assert_f-sa-baseline,3,60.575,60.406,0.293,0.0,60.406,60.914,-19.797,-19.797,0.508,0.508,-20.305,-19.289,3,0
Salesforce_xLAM-2-3b-fc-r,assert_f-sa-baseline,3,57.53,57.36,1.277,1.015,56.345,58.883,-12.86,-12.69,1.277,1.015,-14.213,-11.675,3,0
Team-ACE_ToolACE-2-8B,assert_f-sa-baseline,3,29.949,29.949,0.508,0.508,29.442,30.457,-16.92,-16.751,0.775,0.508,-17.766,-16.244,3,0
watt-ai_watt-tool-70B,assert_f-sa-baseline,3,56.176,55.838,0.586,0.0,55.838,56.853,-14.552,-14.213,1.551,1.015,-16.244,-13.198,3,0
watt-ai_watt-tool-8B,assert_f-sa-baseline,3,39.594,39.594,0.0,0.0,39.594,39.594,-5.753,-5.584,0.293,0.0,-6.091,-5.584,3,0
BitAgent_BitAgent-Bounty-8B,assert_f-sa-interaction-confident,3,44.501,44.67,0.293,0.0,44.162,44.67,-33.164,-33.503,0.586,0.0,-33.503,-32.487,3,0
Qwen_Qwen3-14B-FC,assert_f-sa-interaction-confident,3,24.027,24.365,1.551,1.015,22.335,25.381,-26.565,-27.919,2.345,0.0,-27.919,-23.858,3,0
Qwen_Qwen3-32B-FC,assert_f-sa-interaction-confident,3,31.98,31.98,1.015,1.015,30.964,32.995,-22.504,-22.335,2.289,2.03,-24.873,-20.305,3,0
Qwen_Qwen3-8B-FC,assert_f-sa-interaction-confident,3,27.58,27.411,0.775,0.508,26.904,28.426,-15.059,-16.244,2.974,1.015,-17.259,-11.675,3,0
Salesforce_Llama-xLAM-2-70b-fc-r,assert_f-sa-interaction-confident,3,52.453,52.284,0.293,0.0,52.284,52.792,-26.734,-26.904,0.293,0.0,-26.904,-26.396,3,0
Salesforce_Llama-xLAM-2-8b-fc-r,assert_f-sa-interaction-confident,3,58.376,58.376,0.508,0.508,57.868,58.883,-18.951,-18.782,0.775,0.508,-19.797,-18.274,3,0
Salesforce_xLAM-2-32b-fc-r,assert_f-sa-interaction-confident,3,52.284,52.792,1.343,0.508,50.761,53.299,-28.088,-27.411,1.632,0.508,-29.949,-26.904,3,0
Salesforce_xLAM-2-3b-fc-r,assert_f-sa-interaction-confident,3,45.516,45.685,0.293,0.0,45.178,45.685,-24.873,-24.873,0.508,0.508,-25.381,-24.365,3,0
Team-ACE_ToolACE-2-8B,assert_f-sa-interaction-confident,3,20.135,19.797,0.586,0.0,19.797,20.812,-26.734,-26.904,0.775,0.508,-27.411,-25.888,3,0
watt-ai_watt-tool-70B,assert_f-sa-interaction-confident,3,41.117,41.117,0.508,0.508,40.609,41.624,-29.611,-29.442,0.775,0.508,-30.457,-28.934,3,0
watt-ai_watt-tool-8B,assert_f-sa-interaction-confident,3,34.01,34.01,0.508,0.508,33.503,34.518,-11.337,-11.675,0.586,0.0,-11.675,-10.66,3,0
BitAgent_BitAgent-Bounty-8B,assert_f-sa-interaction-hedged,3,45.178,45.685,1.343,0.508,43.655,46.193,-32.487,-32.487,1.015,1.015,-33.503,-31.472,3,0
Qwen_Qwen3-14B-FC,assert_f-sa-interaction-hedged,3,27.919,27.919,0.0,0.0,27.919,27.919,-22.673,-22.335,1.551,1.015,-24.365,-21.32,3,0
Qwen_Qwen3-32B-FC,assert_f-sa-interaction-hedged,3,31.134,30.457,1.632,0.508,29.949,32.995,-23.35,-21.32,3.965,0.508,-27.919,-20.812,3,0
Qwen_Qwen3-8B-FC,assert_f-sa-interaction-hedged,3,29.611,29.949,1.551,1.015,27.919,30.964,-13.029,-14.721,3.38,0.508,-15.228,-9.137,3,0
Salesforce_Llama-xLAM-2-70b-fc-r,assert_f-sa-interaction-hedged,3,57.53,57.868,0.586,0.0,56.853,57.868,-21.658,-21.32,0.586,0.0,-22.335,-21.32,3,0
Salesforce_Llama-xLAM-2-8b-fc-r,assert_f-sa-interaction-hedged,3,58.714,58.883,0.293,0.0,58.376,58.883,-18.613,-18.782,0.293,0.0,-18.782,-18.274,3,0
Salesforce_xLAM-2-32b-fc-r,assert_f-sa-interaction-hedged,3,53.299,53.299,0.0,0.0,53.299,53.299,-27.073,-27.411,0.586,0.0,-27.411,-26.396,3,0
Salesforce_xLAM-2-3b-fc-r,assert_f-sa-interaction-hedged,3,49.069,49.239,0.775,0.508,48.223,49.746,-21.32,-21.32,0.508,0.508,-21.827,-20.812,3,0
Team-ACE_ToolACE-2-8B,assert_f-sa-interaction-hedged,3,19.966,19.797,0.293,0.0,19.797,20.305,-26.904,-26.904,0.0,0.0,-26.904,-26.904,3,0
watt-ai_watt-tool-70B,assert_f-sa-interaction-hedged,3,41.794,41.624,0.775,0.508,41.117,42.64,-28.934,-28.934,1.523,1.523,-30.457,-27.411,3,0
watt-ai_watt-tool-8B,assert_f-sa-interaction-hedged,3,34.179,34.01,0.775,0.508,33.503,35.025,-11.168,-11.675,0.879,0.0,-11.675,-10.152,3,0
BitAgent_BitAgent-Bounty-8B,assert_init-confident,3,57.36,56.853,1.343,0.508,56.345,58.883,-20.305,-20.305,1.523,1.523,-21.827,-18.782,3,0
Qwen_Qwen3-14B-FC,assert_init-confident,3,48.731,48.731,0.508,0.508,48.223,49.239,-1.861,-1.523,1.057,0.508,-3.046,-1.015,3,0
Qwen_Qwen3-32B-FC,assert_init-confident,3,48.562,48.223,1.057,0.508,47.716,49.746,-5.922,-4.569,3.264,1.015,-9.645,-3.553,3,0
Qwen_Qwen3-8B-FC,assert_init-confident,3,40.102,40.609,1.343,0.508,38.579,41.117,-2.538,-2.538,4.569,4.569,-7.107,2.03,2,1
Salesforce_Llama-xLAM-2-70b-fc-r,assert_init-confident,3,68.697,68.528,0.293,0.0,68.528,69.036,-10.491,-10.66,0.293,0.0,-10.66,-10.152,3,0
Salesforce_Llama-xLAM-2-8b-fc-r,assert_init-confident,3,70.897,71.066,0.293,0.0,70.558,71.066,-6.43,-6.599,0.293,0.0,-6.599,-6.091,3,0
