model,noassert,assert_f-sa-baseline,assert_f-sa-interaction-confident,assert_f-sa-interaction-hedged,assert_init-confident,assert_init-hedged,assert_readHeavy-confident,assert_readHeavy-hedged,assert_writeHeavy-confident,assert_writeHeavy-hedged
BitAgent_BitAgent-Bounty-8B,77.66%,60.41% (-17.26%),44.67% (-32.99%),45.69% (-31.98%),56.85% (-20.81%),60.41% (-17.26%),62.44% (-15.23%),67.01% (-10.66%),57.87% (-19.80%),59.90% (-17.77%)
Qwen_Qwen3-14B-FC,50.25%,26.90% (-23.35%),24.37% (-25.89%),27.92% (-22.34%),48.73% (-1.52%),51.27% (+1.02%),47.21% (-3.05%),49.75% (-0.51%),42.13% (-8.12%),45.69% (-4.57%)
Qwen_Qwen3-32B-FC,54.31%,35.03% (-19.29%),31.98% (-22.34%),30.46% (-23.86%),48.22% (-6.09%),51.78% (-2.54%),51.27% (-3.05%),53.81% (-0.51%),42.13% (-12.18%),48.73% (-5.58%)
Qwen_Qwen3-8B-FC,43.15%,28.43% (-14.72%),27.41% (-15.74%),29.95% (-13.20%),40.61% (-2.54%),40.61% (-2.54%),42.64% (-0.51%),42.13% (-1.02%),37.06% (-6.09%),41.62% (-1.52%)
Salesforce_Llama-xLAM-2-70b-fc-r,79.19%,72.08% (-7.11%),52.28% (-26.90%),57.87% (-21.32%),68.53% (-10.66%),68.02% (-11.17%),70.56% (-8.63%),72.59% (-6.60%),61.42% (-17.77%),64.97% (-14.21%)
Salesforce_Llama-xLAM-2-8b-fc-r,77.16%,67.01% (-10.15%),58.38% (-18.78%),58.88% (-18.27%),71.07% (-6.09%),74.62% (-2.54%),72.08% (-5.08%),73.60% (-3.55%),65.48% (-11.68%),69.54% (-7.61%)
Salesforce_xLAM-2-32b-fc-r,80.71%,60.41% (-20.30%),52.79% (-27.92%),53.30% (-27.41%),72.59% (-8.12%),72.59% (-8.12%),73.60% (-7.11%),74.11% (-6.60%),66.50% (-14.21%),69.54% (-11.17%)
Salesforce_xLAM-2-3b-fc-r,70.56%,57.36% (-13.20%),45.69% (-24.87%),49.24% (-21.32%),60.41% (-10.15%),59.90% (-10.66%),62.94% (-7.61%),62.94% (-7.61%),56.35% (-14.21%),60.41% (-10.15%)
Team-ACE_ToolACE-2-8B,46.70%,29.95% (-16.75%),19.80% (-26.90%),19.80% (-26.90%),39.59% (-7.11%),41.12% (-5.58%),41.62% (-5.08%),42.13% (-4.57%),35.03% (-11.68%),37.56% (-9.14%)
watt-ai_watt-tool-70B,70.05%,55.84% (-14.21%),41.12% (-28.93%),41.62% (-28.43%),61.42% (-8.63%),62.44% (-7.61%),63.96% (-6.09%),62.94% (-7.11%),53.30% (-16.75%),53.81% (-16.24%)
watt-ai_watt-tool-8B,45.18%,39.59% (-5.58%),34.01% (-11.17%),34.01% (-11.17%),41.12% (-4.06%),42.64% (-2.54%),43.15% (-2.03%),41.62% (-3.55%),35.03% (-10.15%),38.58% (-6.60%)
